# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  143       5.859592339513e-10       1.374429820030e-13      -5.965130540644e-12       0.000000000000e+00       2.986605428224e-12       6.426163350236e-13      -3.941515782587e-15 
  144       5.906989619740e-10       1.376049484607e-13      -6.001315500638e-12       0.000000000000e+00       2.926294056560e-12       6.332404437874e-13      -3.890118252001e-15 
  145       5.954255658972e-10       1.377120695513e-13      -6.035089771020e-12       0.000000000000e+00       2.867617314660e-12       6.240451342044e-13      -3.838222515723e-15 
  146       6.001379685474e-10       1.377644225109e-13      -6.066402375222e-12       0.000000000000e+00       2.810529614080e-12       6.150250646713e-13      -3.785847336308e-15 
  147       6.048350440069e-10       1.377621493393e-13      -6.095203140336e-12       0.000000000000e+00       2.754977367259e-12       6.061738216603e-13      -3.733010648049e-15 
  148       6.095156165346e-10       1.377054580880e-13      -6.121442726955e-12       0.000000000000e+00       2.700898811182e-12       5.974838954324e-13      -3.679729522862e-15 
  149       6.141784594869e-10       1.375946241473e-13      -6.145072659016e-12       0.000000000000e+00       2.648223831044e-12       5.889466557506e-13      -3.626020136170e-15 
  150       6.188222942385e-10       1.374299915341e-13      -6.166045353637e-12       0.000000000000e+00       2.596873783912e-12       5.805523275938e-13      -3.571897732780e-15 
  151       6.234457891031e-10       1.372119741789e-13      -6.184314150964e-12       0.000000000000e+00       2.546761322388e-12       5.722899668701e-13      -3.517376592768e-15 
  152       6.280475582545e-10       1.369410572137e-13      -6.199833344008e-12       0.000000000000e+00       2.497790218274e-12       5.641474361298e-13      -3.462469997360e-15 
  153       6.326262644245e-10       1.366178069136e-13      -6.212558571753e-12       0.000000000000e+00       2.449875146906e-12       5.561144089514e-13      -3.407199045583e-15 
  154       6.371809400083e-10       1.362428988523e-13      -6.222447976790e-12       0.000000000000e+00       2.403003480219e-12       5.481917483949e-13      -3.351620098004e-15 
  155       6.417106938828e-10       1.358170948303e-13      -6.229461212667e-12       0.000000000000e+00       2.357178927080e-12       5.403829579069e-13      -3.295799830357e-15 
  156       6.462146097661e-10       1.353412357760e-13      -6.233559121717e-12       0.000000000000e+00       2.312402014698e-12       5.326912221968e-13      -3.239806622872e-15 
  157       6.506917456663e-10       1.348162430773e-13      -6.234703766756e-12       0.000000000000e+00       2.268670013953e-12       5.251193983749e-13      -3.183710571233e-15 
  158       6.551411333315e-10       1.342431199131e-13      -6.232858462769e-12       0.000000000000e+00       2.225976864711e-12       5.176700070905e-13      -3.127583497539e-15 
